NOMBRE,CATEGORIA,COD_REG,NOM_REG,COD_PROV,NOM_PROV,COD_COM,NOM_COM,COD_DIS,NOM_DIS,ID,Norte,Este UTM Huso 19 Sur,point_latitude,point_longitude
Punta Alcalde,Otros,03,Atacama,033,Huasco,03304,Huasco,0330401,Huasco,2541,6849298.30412000000,279062.48149200000,-28.46421398,-71.25649389
Huasco Bajo,Aldea,03,Atacama,033,Huasco,03304,Huasco,0330401,Huasco,2542,6849672.95235000000,285919.00552900000,-28.46197807,-71.18643932
El Pino,Otros,03,Atacama,033,Huasco,03304,Huasco,0330401,Huasco,2543,6846690.86267000000,289083.80802500000,-28.48939289,-71.15468168
Los Colorados,Otros,03,Atacama,033,Huasco,03304,Huasco,0330401,Huasco,2544,6865916.00984000000,320865.85884200000,-28.32069887,-70.82717037
Las Norias,Otros,03,Atacama,033,Huasco,03304,Huasco,0330401,Huasco,2545,6860657.58504000000,293613.65441500000,-28.36413004,-71.1059353
Saucecito,Otros,03,Atacama,033,Huasco,03304,Huasco,0330401,Huasco,2546,6835285.67172000000,278428.41218600000,-28.5904937,-71.26566808
Vertedero Municipal,Otros,03,Atacama,033,Huasco,03304,Huasco,0330401,Huasco,2547,6847478.02658000000,285408.44141900000,-28.4816925,-71.19205947
Tres Playitas,Otros,03,Atacama,033,Huasco,03304,Huasco,0330401,Huasco,2548,6863143.89648000000,288447.91487300000,-28.34087829,-71.15816168
Los Lobitos,Otros,03,Atacama,033,Huasco,03304,Huasco,0330401,Huasco,2549,6860721.48578000000,288358.19595800000,-28.36271492,-71.15951869
Los Lachos,Otros,03,Atacama,033,Huasco,03304,Huasco,0330401,Huasco,2550,6841342.20023000000,279565.74232700000,-28.53606029,-71.25288161
La Virgen,Otros,03,Atacama,033,Huasco,03304,Huasco,0330401,Huasco,2551,6854261.72393000000,284859.15828900000,-28.42041273,-71.19640164
Villa Guacolda,Otros,03,Atacama,033,Huasco,03304,Huasco,0330401,Huasco,2552,6847201.27429000000,283692.81239900000,-28.48390518,-71.20962601
Montt,Otros,03,Atacama,033,Huasco,03304,Huasco,0330401,Huasco,2553,6865658.87870000000,287553.99627500000,-28.31804764,-71.16681532
Viznagas,Otros,03,Atacama,033,Huasco,03304,Huasco,0330401,Huasco,2554,6860865.15596000000,291016.12936500000,-28.36184573,-71.13238765
Las Trancas,Otros,03,Atacama,033,Huasco,03304,Huasco,0330401,Huasco,2555,6862196.74561000000,310324.17929100000,-28.35277122,-70.93525492
Lo Castillo,Otros,03,Atacama,033,Huasco,03304,Huasco,0330401,Huasco,2556,6841956.58293000000,287021.36041500000,-28.531761,-71.17661575
Guarguari,Otros,03,Atacama,033,Huasco,03304,Huasco,0330401,Huasco,2557,6858867.77148000000,288486.10903000000,-28.37945679,-71.15855284
La Cachina,Otros,03,Atacama,033,Huasco,03304,Huasco,0330401,Huasco,2558,6861131.47389000000,300470.41588000000,-28.36091767,-71.03592515
Aer¾dromo,Otros,03,Atacama,031,Copiap¾,03102,Caldera,0310201,Caldera,2559,7001732.47081000000,324482.21056500000,-27.09567476,-70.77039654
Aer¾dromo,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320202,El Salvador,2560,7089784.98925000000,423523.79239000000,-26.30975858,-69.76617514
Amolanas,Otros,03,Atacama,031,Copiap¾,03103,Tierra Amarilla,0310303,La Junta,2561,6897657.68137000000,407241.17470900000,-28.04315736,-69.94376609
Andacollo,Otros,03,Atacama,031,Copiap¾,03103,Tierra Amarilla,0310303,La Junta,2562,6885559.42943000000,412760.18989900000,-28.15273148,-69.88851809
Bellavista,Otros,03,Atacama,033,Huasco,03304,Huasco,0330401,Huasco,2563,6864590.09268000000,289380.52475400000,-28.32798307,-71.14839056
Caleta Los Patos,Otros,03,Atacama,031,Copiap¾,03102,Caldera,0310202,Totoralillo,2564,7025969.68851000000,319117.47502000000,-26.8762655,-70.82096182
Carretera Panamericana,Otros,03,Atacama,031,Copiap¾,03101,Copiap¾,0310112,Toledo,2565,6978911.78148000000,359136.95268300000,-27.30561245,-70.42355633
Carretera Panamericana,Otros,03,Atacama,033,Huasco,03301,Vallenar,0330104,Hermanos Carrera,2566,6842551.15953000000,328830.23494500000,-28.53257199,-70.74942912
Caser¾n,Otros,03,Atacama,031,Copiap¾,03102,Caldera,0310201,Caldera,2567,7001226.02768000000,331226.00405200000,-27.10108547,-70.70246775
Coipa,Otros,03,Atacama,031,Copiap¾,03101,Copiap¾,0310119,Puquios,2568,6995748.90891000000,437682.89910500000,-27.15944066,-69.62898251
Cha±arcillo,Otros,03,Atacama,031,Copiap¾,03101,Copiap¾,0310113,Castilla,2569,6924040.66675000000,360838.55814300000,-27.80100585,-70.41268845
El Corral,Otros,03,Atacama,033,Huasco,03302,Alto Del Carmen,0330210,El Corral,2570,6789246.10090000000,354978.89751300000,-29.01673468,-70.48907455
El Cha±ar,Otros,03,Atacama,031,Copiap¾,03101,Copiap¾,0310117,Monte Amargo,2571,6979166.75467000000,353348.34406300000,-27.30270346,-70.48200967
El JardÝn,Otros,03,Atacama,031,Copiap¾,03103,Tierra Amarilla,0310301,Tierra Amarilla,2572,6963149.26605000000,374767.18720000000,-27.44940229,-70.26725116
El Salto,Otros,03,Atacama,031,Copiap¾,03103,Tierra Amarilla,0310301,Tierra Amarilla,2573,6958747.34606000000,374839.38299700000,-27.48913967,-70.26697508
El Sauce,Otros,03,Atacama,033,Huasco,03302,Alto Del Carmen,0330211,Algod¾n,2574,6820787.99562000000,352740.90459600000,-28.73187587,-70.50793188
Estaci¾n Romero,Otros,03,Atacama,033,Huasco,03301,Vallenar,0330115,Camarones,2575,6831204.07941000000,327819.10138000000,-28.63481466,-70.76146505
La Arena,Otros,03,Atacama,033,Huasco,03304,Huasco,0330401,Huasco,2576,6851650.00696000000,284629.62039400000,-28.44393274,-71.19923083
